"Z","Ebind","Occ","Element","subshell","CCp","Eic","Vi_q0","nmax","nh","shell_colours","multiplier","Jat"
1,0.013598434599702,1,"Hydrogen","K",NA,NA,NA,NA,NA,NA,NA,0.5
2,0.024587389011,2,"Helium","K",NA,NA,NA,NA,NA,NA,NA,0.5
2,0.054417765486,1,"Helium","K",NA,NA,NA,NA,NA,NA,NA,0.5
3,0.005391714996,3,"Lithium","L1",NA,NA,NA,NA,NA,NA,NA,0.5
3,0.075640097,2,"Lithium","K",NA,NA,NA,NA,NA,NA,NA,0.5
3,0.12245435914,1,"Lithium","K",NA,NA,NA,NA,NA,NA,NA,0.5
4,0.009322699,4,"Beryllium","L1",NA,NA,NA,NA,NA,NA,NA,0.5
4,0.01821115,3,"Beryllium","L1",NA,NA,NA,NA,NA,NA,NA,0.5
4,0.153896205,2,"Beryllium","K",NA,NA,NA,NA,NA,NA,NA,0.5
4,0.2177185861,1,"Beryllium","K",NA,NA,NA,NA,NA,NA,NA,0.5
5,0.008298019,5,"Boron","L2",NA,NA,NA,NA,NA,NA,NA,1.5
5,0.02515483,4,"Boron","L1",NA,NA,NA,NA,NA,NA,NA,0.5
5,0.03793059,3,"Boron","L1",NA,NA,NA,NA,NA,NA,NA,0.5
5,0.2593715,2,"Boron","K",NA,NA,NA,NA,NA,NA,NA,0.5
5,0.3402260229,1,"Boron","K",NA,NA,NA,NA,NA,NA,NA,0.5
6,0.011260288,6,"Carbon","L2",NA,NA,NA,NA,NA,NA,NA,1.5
6,0.024383154,5,"Carbon","L2",NA,NA,NA,NA,NA,NA,NA,1.5
6,0.04788778,4,"Carbon","L1",NA,NA,NA,NA,NA,NA,NA,0.5
6,0.06449352,3,"Carbon","L1",NA,NA,NA,NA,NA,NA,NA,0.5
6,0.392090518,2,"Carbon","K",NA,NA,NA,NA,NA,NA,NA,0.5
6,0.489993198,1,"Carbon","K",NA,NA,NA,NA,NA,NA,NA,0.5
7,0.01453413,7,"Nitrogen","L3",NA,NA,NA,NA,NA,NA,NA,1.5
7,0.02960125,6,"Nitrogen","L2",NA,NA,NA,NA,NA,NA,NA,1.5
7,0.0474453,5,"Nitrogen","L2",NA,NA,NA,NA,NA,NA,NA,1.5
7,0.0774735,4,"Nitrogen","L1",NA,NA,NA,NA,NA,NA,NA,0.5
7,0.0978901,3,"Nitrogen","L1",NA,NA,NA,NA,NA,NA,NA,0.5
7,0.55206733,2,"Nitrogen","K",NA,NA,NA,NA,NA,NA,NA,0.5
7,0.667046121,1,"Nitrogen","K",NA,NA,NA,NA,NA,NA,NA,0.5
8,0.013618055,8,"Oxygen","L3",NA,NA,NA,NA,NA,NA,NA,1.5
8,0.03512112,7,"Oxygen","L3",NA,NA,NA,NA,NA,NA,NA,1.5
8,0.05493554,6,"Oxygen","L2",NA,NA,NA,NA,NA,NA,NA,1.5
8,0.0774135,5,"Oxygen","L2",NA,NA,NA,NA,NA,NA,NA,1.5
8,0.113899,4,"Oxygen","L1",NA,NA,NA,NA,NA,NA,NA,0.5
8,0.1381189,3,"Oxygen","L1",NA,NA,NA,NA,NA,NA,NA,0.5
8,0.73932683,2,"Oxygen","K",NA,NA,NA,NA,NA,NA,NA,0.5
8,0.871409883,1,"Oxygen","K",NA,NA,NA,NA,NA,NA,NA,0.5
9,0.01742282,9,"Fluorine","L3",NA,NA,NA,NA,NA,NA,NA,1.5
9,0.03497081,8,"Fluorine","L3",NA,NA,NA,NA,NA,NA,NA,1.5
9,0.06270798,7,"Fluorine","L3",NA,NA,NA,NA,NA,NA,NA,1.5
9,0.087175,6,"Fluorine","L2",NA,NA,NA,NA,NA,NA,NA,1.5
9,0.114249,5,"Fluorine","L2",NA,NA,NA,NA,NA,NA,NA,1.5
9,0.15716311,4,"Fluorine","L1",NA,NA,NA,NA,NA,NA,NA,0.5
9,0.1851868,3,"Fluorine","L1",NA,NA,NA,NA,NA,NA,NA,0.5
9,0.95389805,2,"Fluorine","K",NA,NA,NA,NA,NA,NA,NA,0.5
9,1.10311748,1,"Fluorine","K",NA,NA,NA,NA,NA,NA,NA,0.5
10,1.36219916,1,"Neon","K",2.57e-06,1999.13,0.869999999999891,2,2,"rgb(123,104,238)",1.56574616091974,0.5
10,1.19580784,2,"Neon","K",2.57e-06,1999.13,0.869999999999891,2,1,"rgb(123,104,238)",0.687245885057558,0.5
10,0.239097,3,"Neon","L1",1.42e-07,1999.95,0.049999999999955,2,2,"rgb(25,25,112)",4.78194000000435,0.5
10,0.207271,4,"Neon","L1",1.42e-07,1999.95,0.049999999999955,2,1,"rgb(25,25,112)",2.07271000000189,0.5
10,0.157934,5,"Neon","L2",4.17e-11,1999.98,0.019999999999982,2,2,"rgb(0,0,139)",7.89670000000718,1.5
10,0.126247,6,"Neon","L2",4.17e-11,1999.98,0.019999999999982,2,1,"rgb(0,0,139)",3.15617500000287,1.5
10,0.09719,7,"Neon","L3",8.54e-11,1999.98,0.019999999999982,4,2,"rgb(0,0,205)",2.42975000000221,1.5
10,0.0634233,8,"Neon","L3",8.54e-11,1999.98,0.019999999999982,4,2,"rgb(0,0,205)",1.58558250000144,1.5
10,0.04096297,9,"Neon","L3",8.54e-11,1999.98,0.019999999999982,4,2,"rgb(0,0,205)",1.02407425000093,1.5
10,0.021564541,10,"Neon","L3",8.54e-11,1999.98,0.019999999999982,4,2,"rgb(0,0,205)",0.53911352500049,1.5
11,1.6487022,1,"Sodium","K",3.4e-06,1998.93,1.06999999999994,2,2,"rgb(123,104,238)",1.54084317757019,0.5
